CurrentState|Input|Output|Movement|NewState
S0|X|X|>|S0
S0|K|K|>|S0
S0|0|0|>|S0
S0|C|C|>|S0
S0|Y|Y|>|S0
S0|F|F|>|S0
S0|A|A|>|S0
S0|B|B|>|S0
S0|I|I|>|S1
S0|N|I|<|S1
S0|C|C|>|S0
S0|#|#|<|S0
S1|0|A|>|S1
S1|C|C|>|S2
S1|X|Y|>|S2
S1|K|F|>|S2
S1|B|B|>|S2
S1|~|~|>|S0
S2|X|X|>|S2
S2|K|K|>|S2
S2|0|0|>|S2
S2|C|C|>|S3
S2|B|B|>|S3
S2|~|~|>|S0
S2|#|#|<|S4
S3|0|0|>|S3
S3|X|X|>|S3
S3|K|K|>|S3
S3|C|C|>|S3
S3|B|B|>|S3
S3|#|#|<|S4
S3|~|~|>|S0
S4|X|X|<|S4
S4|K|K|<|S4
S4|0|0|<|S4
S4|C|C|<|S4
S4|B|B|<|S4
S4|Y|Y|<|S4
S4|F|F|<|S4
S4|A|A|<|S4
S4|I|N|<|S4
S4|C|C|<|S4
S4|~|~|>|S5
S4|#|#|<|S4
S5|X|X|>|S5
S5|K|K|>|S5
S5|0|0|>|S5
S5|C|C|>|S5
S5|B|B|>|S5
S5|Y|Y|>|S5
S5|F|F|>|S5
S5|A|A|>|S5
S5|B|B|>|S5
S5|I|I|>|S6
S5|N|I|<|S6
S5|~|~|>|S5
S5|#|#|<|S16
S6|X|X|>|S7
S6|K|K|>|S7
S6|0|0|>|S7
S6|C|C|>|S7
S6|B|B|>|S7
S6|Y|Y|>|S7
S6|F|F|>|S7
S6|A|A|>|S7
S6|~|~|>|S5
S6|#|#|<|S5
S7|X|X|>|S8
S7|K|K|>|S8
S7|0|0|>|S8
S7|C|C|>|S8
S7|B|B|>|S8
S7|Y|Y|>|S8
S7|F|F|>|S8
S7|A|A|>|S8
S7|~|~|>|S5
S7|#|#|<|S5
S8|X|X|>|S9
S8|K|K|>|S9
S8|0|0|>|S9
S8|C|C|>|S9
S8|B|B|>|S9
S8|Y|Y|>|S9
S8|F|F|>|S9
S8|A|A|>|S9
S8|~|~|>|S5
S8|#|#|<|S5
S9|X|X|>|S10
S9|K|K|>|S10
S9|0|0|>|S10
S9|C|C|>|S10
S9|B|B|>|S10
S9|Y|Y|>|S10
S9|F|F|>|S10
S9|A|A|>|S10
S9|~|~|>|S5
S9|#|#|<|S5
S10|X|X|>|S11
S10|K|K|>|S11
S10|0|0|>|S11
S10|C|C|>|S11
S10|B|B|>|S11
S10|Y|Y|>|S11
S10|F|F|>|S11
S10|A|A|>|S11
S10|~|~|>|S5
S10|#|#|<|S5
S11|X|X|>|S12
S11|K|K|>|S12
S11|0|0|>|S12
S11|C|C|>|S12
S11|B|B|>|S12
S11|Y|Y|>|S12
S11|F|F|>|S12
S11|A|A|>|S12
S11|~|~|>|S5
S11|#|#|<|S5
S12|X|X|>|S13
S12|K|K|>|S13
S12|0|0|>|S13
S12|C|C|>|S13
S12|B|B|>|S13
S12|Y|Y|>|S13
S12|F|F|>|S13
S12|A|A|>|S13
S12|~|~|>|S5
S12|#|#|<|S5
S13|X|X|>|S14
S13|K|K|>|S14
S13|0|0|>|S14
S13|C|C|>|S14
S13|B|B|>|S14
S13|Y|Y|>|S14
S13|F|F|>|S14
S13|A|A|>|S14
S13|~|~|>|S5
S13|#|#|<|S5
S14|X|Y|>|S15
S14|K|F|>|S15
S14|0|A|>|S6
S14|C|C|>|S6
S14|B|B|>|S15
S14|Y|Y|>|S6
S14|F|F|>|S6
S14|A|A|>|S6
S14|~|~|>|S5
S14|#|#|<|S5
S15|0|0|>|S15
S15|X|X|>|S15
S15|K|K|>|S15
S15|C|C|>|S15
S15|Y|Y|>|S15
S15|F|F|>|S15
S15|A|A|>|S15
S15|~|~|>|S5
S15|B|B|>|S15
S15|#|#|<|S16
S16|0|0|<|S16
S16|X|X|<|S16
S16|K|K|<|S16
S16|C|C|<|S16
S16|Y|Y|<|S16
S16|F|F|<|S16
S16|A|A|<|S16
S16|B|B|<|S16
S16|I|N|<|S16
S16|~|~|>|S17
S16|#|#|<|S17
S17|0|0|>|S17
S17|X|X|>|S17
S17|K|K|>|S17
S17|B|B|>|S17
S17|C|C|>|S17
S17|N|I|<|S18
S17|I|I|>|S18
S17|Y|Y|>|S17
S17|F|F|>|S17
S17|A|A|>|S17
S17|#|#|<|S19
S18|0|0|>|S20
S18|X|X|>|S20
S18|K|K|>|S20
S18|B|B|>|S20
S18|C|C|>|S20
S18|A|A|>|S20
S18|Y|Y|>|S20
S18|F|F|>|S20
